District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Length,Shape_Area
PUDUCHERRY,PUDUCHERRY, ,34,600,353092.642229999997653,783.607572323494423,0.908563928200034
ARIYAL@R,TAMIL N>DU, ,33,610,259098.153078000003006,259098.153077726252377,1953551845.549140453338623
CHENGALPATTU,TAMIL N>DU, ,33,730,358842.505918000009842,358842.505918497103266,2720867896.500606060028076
CHENNAI,TAMIL N>DU, ,33,568,129264.584986000001663,129264.584985808265628,332995243.658737599849701
COIMBATORE,TAMIL N>DU, ,33,569,567689.264188000001013,567689.264432391384616,4774994296.448239326477051
CUDDALORE,TAMIL N>DU, ,33,570,538000.310458999942057,538000.310603217803873,3726277216.027215957641602
DHARMAPURI,TAMIL N>DU, ,33,571,524839.925953999976628,524839.925953671219759,4507661284.656317710876465
DINDIGUL,TAMIL N>DU, ,33,572,647345.612171999993734,647345.612214006134309,6144763049.161725044250488
ERODE,TAMIL N>DU, ,33,573,754856.035429000039585,754856.035428706556559,5145413409.278239250183105
K>NCHIPURAM,TAMIL N>DU, ,33,574,434909.581433999992441,434909.581434419844300,1742378007.203172683715820
KALLAKKURICHI,TAMIL N>DU, ,33,729,423126.665448000014294,423126.665448080224451,3547769481.389792442321777
KANY>KUMARI,TAMIL N>DU, ,33,575,250200.341266000003088,250200.341285023343517,1735656760.693094491958618
KAR@R,TAMIL N>DU, ,33,576,465382.763620999990962,465382.763620950747281,2937839639.391941070556641
MADURAI,TAMIL N>DU, ,33,578,556591.142733999993652,556591.142733564716764,3778649192.335428714752197
N|LGIRIS,TAMIL N>DU, ,33,587,348091.550661000015680,348091.551097524585202,2448560748.854968547821045
N>GAPATTINAM,TAMIL N>DU, ,33,579,551117.207371999975294,551117.202142079477198,2596160074.572047710418701
N>MAKKAL,TAMIL N>DU, ,33,580,421895.926029000023846,421895.926029413822107,3447144066.825696468353271
PERAMBAL@R,TAMIL N>DU, ,33,581,293242.935930999985430,293242.935931133397389,1771180070.397733688354492
PUDUKKOTTAI,TAMIL N>DU, ,33,582,700396.399693000013940,700396.399692514562048,4724470766.075856208801270
R>MAN>THAPURAM,TAMIL N>DU, ,33,583,759677.186728999949992,759677.186728918692097,4205965470.072655200958252
R>NIPPETTAI,TAMIL N>DU, ,33,731,364819.857095999992453,364819.857095858897083,1844110586.899770259857178
SALEM,TAMIL N>DU, ,33,584,915161.466656000004150,915161.466656428878196,6037029189.729292869567871
SIVAGANGA,TAMIL N>DU, ,33,585,696117.078500999952666,696117.078500665375032,4324025753.964959144592285
TENI,TAMIL N>DU, ,33,588,346738.897042999975383,346738.897045161458664,2923469272.767056941986084
TENKASI,TAMIL N>DU, ,33,733,376983.820507000025827,376983.820507439086214,2883873054.366557598114014
THANJ>V@R,TAMIL N>DU, ,33,586,657496.455384999979287,657496.455384963541292,3471130011.688360214233398
THIRUV>R@R,TAMIL N>DU, ,33,590,478490.388868000009097,478490.386347505904268,2294247331.821618556976318
TIRUCHIR>PALLI,TAMIL N>DU, ,33,591,803655.820800999994390,803655.820801311056130,4544662494.214753150939941
TIRUNELVELI,TAMIL N>DU, ,33,592,472798.255667000019457,472798.255731548590120,4003497672.723992824554443
TIRUPP@R,TAMIL N>DU, ,33,634,694086.496905999956653,694086.496978950221092,5258915004.304387092590332
TIRUPPATT@R,TAMIL N>DU, ,33,732,320210.743993000010960,320210.743998060468584,2114299060.595690250396729
TIRUVALL@R,TAMIL N>DU, ,33,589,690569.583461000001989,690569.583461515023373,3213859851.959493637084961
TIRUVANN>MALAI,TAMIL N>DU, ,33,593,717314.505342000047676,717314.505342110292986,6180277375.924251556396484
TUTICORIN,TAMIL N>DU, ,33,594,528597.004216999979690,528597.004216847592033,4873818770.798975944519043
VELLORE,TAMIL N>DU, ,33,595,428348.677370999997947,428348.677370686898939,2101439158.857190608978271
VILLUPURAM,TAMIL N>DU, ,33,596,599858.094479999970645,599858.083309486391954,3669168011.045599937438965
VIRUDHUNAGAR,TAMIL N>DU, ,33,597,574984.916364999953657,574984.916337906266563,4336580864.703558921813965
KRISHNAGIRI,TAMIL N>DU, ,33,577,636648.095911000040360,636648.095911253243685,5134733859.922513008117676
