osm_id,code,fclass,name,Latitude,Longitude
248467412,5601,railway_station,Chennai Chetpat,13° 04' 27.63"" N,080° 14' 32.72"" E
248543770,5601,railway_station,Patchur,12° 35' 11.51"" N,078° 28' 11.04"" E
248545108,5601,railway_station,Pattaravakkam,13° 06' 51.81"" N,080° 09' 59.03"" E
256777901,5601,railway_station,Kanchipuram,12° 50' 53.92"" N,079° 42' 18.26"" E
261716087,5601,railway_station,Walajabad,12° 47' 48.58"" N,079° 49' 6.9"" E
261716103,5601,railway_station,Kanchipuram East,12° 50' 27.1"" N,079° 42' 43.91"" E
262308384,5601,railway_station,Pattabiram Military Siding,13° 08' 14.55"" N,080° 03' 36.42"" E
267158149,5601,railway_station,Tirumalpur,12° 57' 23.64"" N,079° 40' 25.55"" E
279318169,5601,railway_station,Wellington,11° 21' 21.88"" N,076° 47' 9.97"" E
279318170,5601,railway_station,Aruvankadu,11° 21' 34.32"" N,076° 46' 10.6"" E
279318171,5601,railway_station,Ketti,11° 22' 54.45"" N,076° 44' 15.41"" E
279318172,5601,railway_station,Udhagamandalam,11° 24' 18.61"" N,076° 41' 46.82"" E
279318254,5601,railway_station,Hill Grove,11° 20' 31.25"" N,076° 50' 8.39"" E
279954205,5601,railway_station,Kallar,11° 20' 18.79"" N,076° 52' 58.46"" E
279992466,5601,railway_station,Lovedale,11° 23' 5.4"" N,076° 42' 18.37"" E
288370387,5601,railway_station,Erode Junction,11° 19' 43.05"" N,077° 43' 32.84"" E
304278622,5601,railway_station,Anna Nagar West,13° 05' 54.74"" N,080° 12' 3.62"" E
353002120,5601,railway_station,Kuzhiturai,08° 18' 4.7"" N,077° 13' 7.18"" E
353002292,5601,railway_station,Nagercoil Junction,08° 10' 28.33"" N,077° 26' 37.96"" E
353002340,5601,railway_station,Aralvaymozhi,08° 14' 54.08"" N,077° 31' 40.54"" E
353002398,5601,railway_station,N. Panakudi,08° 18' 52.77"" N,077° 34' 53.14"" E
353002619,5601,railway_station,Nanguneri,08° 29' 23.42"" N,077° 39' 47.6"" E
353052107,5601,railway_station,Kadayanallur,09° 05' 8.47"" N,077° 21' 46.73"" E
358800211,5601,railway_station,Dharmapuri,12° 07' 33.1"" N,078° 09' 15.2"" E
367460634,5601,railway_station,Hosur,12° 43' 6.01"" N,077° 49' 22.61"" E
367462102,5601,railway_station,Rayakkottai,12° 30' 52.21"" N,078° 01' 38.19"" E
367556529,5601,railway_station,Pugalur,11° 03' 5.09"" N,077° 59' 29.81"" E
367556637,5601,railway_station,Karur Junction,10° 57' 56.91"" N,078° 05' 5.84"" E
367612325,5601,railway_station,Palayam.I,10° 43' 7.74"" N,078° 07' 45.15"" E
367666445,5601,railway_station,Omalur Junction,11° 44' 17.86"" N,078° 02' 41.75"" E
706924007,5601,railway_station,Tiruchendur,08° 30' 8.87"" N,078° 07' 2.28"" E
842949090,5601,railway_station,Magnesite Junction,11° 41' 41.24"" N,078° 05' 50.69"" E
979109389,5601,railway_station,Eraniel,08° 12' 48.34"" N,077° 18' 27.48"" E
1053980228,5601,railway_station,Cauvery,11° 21' 3.89"" N,077° 45' 39.5"" E
1072726279,5601,railway_station,Chinna Salem,11° 37' 53.13"" N,078° 52' 27.57"" E
1106092661,5601,railway_station,Rasipuram,11° 27' 13.44"" N,078° 10' 42.45"" E
1106092848,5601,railway_station,Namakkal,11° 13' 33.65"" N,078° 10' 44.62"" E
1114694294,5601,railway_station,Tenkasi Junction,08° 57' 52.15"" N,077° 18' 22.44"" E
1114856411,5601,railway_station,Virinchipuram,12° 57' 43.92"" N,079° 01' 47.69"" E
1114856418,5601,railway_station,Magudanchavadi,11° 33' 5.04"" N,077° 59' 15.76"" E
1114856443,5601,railway_station,Vijayamangalam,11° 11' 46.63"" N,077° 31' 18.17"" E
1114856467,5601,railway_station,Totiyapalayam,11° 17' 31.19"" N,077° 40' 52.19"" E
1114856494,5601,railway_station,Karuppur,11° 43' 27.02"" N,078° 05' 23.59"" E
1114856496,5601,railway_station,Anangur,11° 23' 54.33"" N,077° 49' 15.56"" E
1114856501,5601,railway_station,Danishpet,11° 51' 30.65"" N,078° 08' 16.93"" E
1114856503,5601,railway_station,Tinnappatti,11° 48' 44.5"" N,078° 05' 54.0"" E
1186110389,5601,railway_station,Tiruppur,11° 06' 30.83"" N,077° 20' 23.1"" E
1192860767,5601,railway_station,Periyanaga Thunai,12° 33' 33.82"" N,077° 54' 40.37"" E
1423798452,5601,railway_station,Ettimadai,10° 53' 54.51"" N,076° 53' 45.51"" E
1423851850,5601,railway_station,Karaimadai,11° 14' 21.48"" N,076° 57' 30.11"" E
1435161822,5601,railway_station,Karaikkudi Junction,10° 04' 10.8"" N,078° 47' 38.28"" E
1478795798,5601,railway_station,Mettupalayam,11° 17' 56.59"" N,076° 56' 7.69"" E
1666746299,5601,railway_station,Vedaranniyam,10° 22' 39.44"" N,079° 51' 19.32"" E
1666746345,5601,railway_station,Topputurai,10° 23' 46.67"" N,079° 50' 55.93"" E
1666746882,5601,railway_station,Kuruvappulam,10° 25' 10.58"" N,079° 47' 13.8"" E
1666747628,5601,railway_station,Agastiyampalli,10° 21' 18.17"" N,079° 51' 0.75"" E
1666747630,5601,railway_station,Kariyappattinam,10° 27' 9.87"" N,079° 44' 17.25"" E
1671298122,5601,railway_station,Neyvilakku,10° 24' 31.1"" N,079° 48' 40.98"" E
1763267442,5601,railway_station,Tulukapati,09° 27' 32.82"" N,077° 56' 1.09"" E
1805255694,5601,railway_station,Palakkodu,12° 17' 49.28"" N,078° 04' 18.04"" E
1805256059,5601,railway_station,Marandahalli,12° 23' 21.47"" N,078° 01' 2.48"" E
1923234955,5601,railway_station,Kila Kadaiyam,08° 49' 6.97"" N,077° 22' 51.38"" E
1923257785,5601,railway_station,Ravanasamudram,08° 48' 16.53"" N,077° 22' 38.87"" E
1923413218,5601,railway_station,Mettur,08° 52' 24.72"" N,077° 22' 12.16"" E
1926969492,5601,railway_station,Pullampadi,10° 56' 22.85"" N,078° 55' 1.6"" E
2048191334,5601,railway_station,Palayasivaram,12° 46' 36.45"" N,079° 52' 40.08"" E
2048214335,5601,railway_station,Takkolam,13° 01' 27.65"" N,079° 40' 38.97"" E
